"Sample ID","Images for analysis","Cell type","Minimum Diameter (µm)","Maximum Diameter (µm)","Images","Cell sharpness","Minimum circularity","Decluster degree","Aspiration cycles","Viable spot brightness (%)","Viable spot area (%)","Mixing cycles","Analysis date/time","Reanalysis date/time","Analysis by","Reanalysis by","Dilution","Wash","Tag","Concentration Adjustment Factor (%)","ROW","COLUMN"
"PKU R24120 D3 V1","50","PCL HELA VERIFIED","13.00","24.50","50","7.00","0.50","High","3","75.0","5.0","3","5/2/2024 3:33:33 PM","","Vi-CELL","","1","Normal Wash","","0","Carousel","10"
"Part number","Lot number","Reagent","Expiration","In service date","Effective expiration"
"C06019","848012","Trypan Blue","12/14/2024 12:00:00 AM","4/29/2024 12:00:00 AM","7/28/2024 12:00:00 AM"
"Image#","Cell count","Viable cells","Total (x10^6) cells/mL","Viable (x10^6) cells/mL","Viability (%)","Average diameter (µm)","Average viable diameter (µm)","Average circularity","Average viable circularity","Average cells per image","Average background intensity","Bubble count","Cluster count"
"1","21","21","0.7912","0.7912","100.0","20.62","20.62","0.98","0.98","21","135","0","0"
"2","29","29","1.0927","1.0927","100.0","20.58","20.58","0.96","0.96","29","135","0","0"
"3","19","19","0.7159","0.7159","100.0","21.27","21.27","0.97","0.97","19","135","0","0"
"4","21","19","0.7912","0.7159","90.5","20.59","20.55","0.91","0.93","21","135","0","0"
"5","19","15","0.7159","0.5652","78.9","19.83","20.00","0.91","0.92","19","135","0","0"
"6","21","17","0.7912","0.6405","81.0","19.67","20.43","0.90","0.91","21","135","0","0"
"7","16","16","0.6028","0.6028","100.0","21.28","21.28","0.96","0.96","16","135","0","0"
"8","19","17","0.7159","0.6405","89.5","19.93","20.21","0.91","0.93","19","135","0","0"
"9","18","15","0.6782","0.5652","83.3","20.52","20.91","0.93","0.94","18","135","0","0"
"10","12","12","0.4521","0.4521","100.0","20.78","20.78","0.97","0.97","12","135","0","0"
"11","16","11","0.6028","0.4145","68.8","20.24","20.60","0.95","0.99","16","135","0","0"
"12","19","15","0.7159","0.5652","78.9","20.33","20.65","0.91","0.91","19","135","0","0"
"13","15","15","0.5652","0.5652","100.0","19.63","19.63","0.95","0.95","15","135","0","0"
"14","14","14","0.5275","0.5275","100.0","21.15","21.15","0.95","0.95","14","135","0","0"
"15","17","17","0.6405","0.6405","100.0","21.55","21.55","0.96","0.96","17","135","0","0"
"16","16","15","0.6028","0.5652","93.8","21.07","21.60","0.97","0.97","16","135","0","0"
"17","18","17","0.6782","0.6405","94.4","19.99","19.88","0.94","0.94","18","135","0","0"
"18","18","17","0.6782","0.6405","94.4","19.71","19.63","0.93","0.92","18","135","0","0"
"19","12","11","0.4521","0.4145","91.7","20.10","20.72","0.93","0.93","12","135","0","0"
"20","11","8","0.4145","0.3014","72.7","19.65","20.39","0.90","0.93","11","135","0","0"
"21","13","12","0.4898","0.4521","92.3","20.72","20.89","0.98","0.97","13","135","0","0"
"22","10","9","0.3768","0.3391","90.0","20.21","20.60","0.95","0.96","10","135","0","0"
"23","10","10","0.3768","0.3768","100.0","21.05","21.05","0.93","0.93","10","135","0","0"
"24","19","16","0.7159","0.6028","84.2","19.83","20.00","0.91","0.95","19","135","0","0"
"25","16","11","0.6028","0.4145","68.8","20.52","19.87","0.90","0.96","16","135","0","0"
"26","30","27","1.1303","1.0173","90.0","20.05","20.25","0.90","0.92","30","135","0","0"
"27","15","15","0.5652","0.5652","100.0","20.26","20.26","0.97","0.97","15","135","0","0"
"28","26","22","0.9796","0.8289","84.6","19.50","19.90","0.94","0.93","26","135","0","0"
"29","22","20","0.8289","0.7536","90.9","20.88","21.26","0.96","0.97","22","135","0","0"
"30","14","13","0.5275","0.4898","92.9","21.58","21.55","0.98","0.99","14","135","0","0"
"31","21","20","0.7912","0.7536","95.2","19.75","19.87","0.96","0.96","21","135","0","0"
"32","22","20","0.8289","0.7536","90.9","19.90","20.41","0.93","0.93","22","135","0","0"
"33","16","13","0.6028","0.4898","81.3","19.81","20.33","0.95","0.95","16","135","0","0"
"34","15","14","0.5652","0.5275","93.3","19.19","18.91","0.91","0.93","15","135","0","0"
"35","7","6","0.2637","0.2261","85.7","19.86","20.11","0.98","0.99","7","135","0","0"
"36","18","15","0.6782","0.5652","83.3","20.31","20.95","0.97","0.97","18","135","0","0"
"37","16","15","0.6028","0.5652","93.8","20.17","20.56","0.93","0.93","16","135","0","0"
"38","15","13","0.5652","0.4898","86.7","19.46","20.27","0.97","0.99","15","135","0","0"
"39","13","13","0.4898","0.4898","100.0","20.41","20.41","0.94","0.94","13","134","0","0"
"40","22","19","0.8289","0.7159","86.4","19.78","20.34","0.92","0.93","22","134","0","0"
"41","16","15","0.6028","0.5652","93.8","20.44","20.34","0.95","0.96","16","134","0","0"
"42","22","18","0.8289","0.6782","81.8","20.06","20.74","0.96","0.96","22","134","0","0"
"43","16","14","0.6028","0.5275","87.5","19.73","20.44","0.94","0.96","16","135","0","0"
"44","21","20","0.7912","0.7536","95.2","19.05","19.33","0.90","0.91","21","135","0","0"
"45","19","18","0.7159","0.6782","94.7","20.54","20.76","0.96","0.97","19","135","0","0"
"46","14","12","0.5275","0.4521","85.7","18.86","19.16","0.90","0.94","14","134","0","0"
"47","16","15","0.6028","0.5652","93.8","20.38","20.77","0.95","0.95","16","134","0","0"
"48","10","10","0.3768","0.3768","100.0","20.13","20.13","0.91","0.91","10","134","0","0"
"49","20","15","0.7536","0.5652","75.0","20.66","20.82","0.92","0.96","20","134","0","0"
"50","13","8","0.4898","0.3014","61.5","20.53","20.99","0.97","0.99","13","134","0","0"
"","","","","","","","","","","","","",""
"Total","858","768","0.6466","0.5787","89.5","20.23","20.47","0.94","0.95","17","135","0","0"
